1,STATE,STATE ABBREVIATION,D,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL VOTES,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,,,
2,Alabama,AL,01,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,R,"56,937",75.25%,,,"129,063",82.58%,,,,,,
3,Alabama,AL,01,H0AL01030,,Peter,Gounares,"Gounares, Peter",,R,"18,725",24.75%,,,,,,,,,,
4,Alabama,AL,01,n/a,,,,,Party Votes:,R,"75,662",,,,,,,,,,,
5,Alabama,AL,01,H0AL01048,,David,Walter,"Walter, David",,CPA,,,,,"26,357",16.87%,,,,,,
6,Alabama,AL,01,n/a,,,Scattered,Scattered,,W,,,,,861,0.55%,,,,,,
7,Alabama,AL,01,n/a,,,,,District Votes:,,"75,662",,,,"156,281",,,,,,,
8,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,
9,Alabama,AL,02,H0AL02087,,Martha,Roby,"Roby, Martha",,R,"36,295",48.55%,"39,169",60.02%,"111,645",50.97%,,,,,,
10,Alabama,AL,02,H0AL02103,,Rick,Barber,"Barber, Rick",,R,"21,313",28.51%,"26,091",39.98%,,,,,,,,
11,Alabama,AL,02,H0AL02111,,Stephanie,Bell,"Bell, Stephanie",,R,"13,797",18.46%,,,,,,,,,,
12,Alabama,AL,02,H0AL02129,,"John Beau, III",McKinney,"McKinney, John Beau, III",,R,"3,349",4.48%,,,,,,,,,,
13,Alabama,AL,02,n/a,,,,,Party Votes:,R,"74,754",,"65,260",,,,,,,,,
14,Alabama,AL,02,H8AL02130,(I),Bobby,Bright,"Bright, Bobby",,D,Unopposed,,,,"106,865",48.79%,,,,,,
15,Alabama,AL,02,n/a,,,Scattered,Scattered,,W,,,,,518,0.24%,,,,,,
16,Alabama,AL,02,n/a,,,,,District Votes:,,"74,754",,"65,260",,"219,028",,,,,,,
