Representative,State,District,Phone,Room,,
"Abraham, Ralph Lee",LA,5th,225-8490,417,,
"Adams, Alma S.",NC,12th,225-1510,222,,
"Aderholt, Robert B.",AL,4th,225-4876,235,,
"Aguilar, Pete",CA,31st,225-3201,1223,,
"Allen, Rick W.",GA,12th,225-2823,426,,
"Amash, Justin",MI,3d,225-3831,114,,
"Amodei, Mark E.",NV,2d,225-6155,332,,
"Arrington, Jodey C.",TX,19th,225-4005,1029,,
"Babin, Brian",TX,36th,225-1555,316,,
"Bacon, Don",NE,2d,225-4155,1516,,
"Banks, Jim",IN,3d,225-4436,509,,
"Barletta, Lou",PA,11th,225-6511,2049,,
"Barr, Andy",KY,6th,225-4706,1427,,
"Barragán, Nanette Diaz",CA,44th,225-8220,1320,,
"Barton, Joe",TX,6th,225-2002,2107,,
"Bass, Karen",CA,37th,225-7084,2241,,
"Beatty, Joyce",OH,3d,225-4324,133,,
"[Becerra, Xavier]",CA,34th,225-6235,1226,,
"Bera, Ami",CA,7th,225-5716,1431,,
"Bergman, Jack",MI,1st,225-4735,414,,
"Beyer, Donald S., Jr.",VA,8th,225-4376,1119,,
"Biggs, Andy",AZ,5th,225-2635,1626,,
"Bilirakis, Gus M.",FL,12th,225-5755,2112,,
"Bishop, Mike",MI,8th,225-4872,428,,
"Bishop, Rob",UT,1st,225-0453,123,,
"Bishop, Sanford D., Jr.",GA,2d,225-3631,2407,,
"Black, Diane",TN,6th,225-4231,1131,,
"Blackburn, Marsha",TN,7th,225-2811,2266,,
"Blum, Rod",IA,1st,225-2911,1108,,
"Blumenauer, Earl",OR,3d,225-4811,1111,,
"Blunt Rochester, Lisa",DE,At Large,225-4165,1123,,
"Bonamici, Suzanne",OR,1st,225-0855,439,,
"Bordallo, Madeleine Z.",GU,Delegat,225-1188,2441,,
"Bost, Mike",IL,12th,225-5661,1440,,
"Boyle, Brendan F.",PA,13th,225-6111,1133,,
"Brady, Kevin",TX,8th,225-4901,1011,,
"Brady, Robert A.",PA,1st,225-4731,2004,,
"Brat, Dave",VA,7th,225-2815,1628,,
"Bridenstine, Jim",OK,1st,225-2211,216,,
"Brooks, Mo",AL,5th,225-4801,2400,,
"Brooks, Susan W.",IN,5th,225-2276,1030,,
"Brown, Anthony G.",MD,4th,225-8699,1505,,
"Brownley, Julia",CA,26th,225-5811,1019,,
"Buchanan, Vern",FL,16th,225-5015,2104,,
"Buck, Ken",CO,4th,225-4676,1130,,
"Bucshon, Larry",IN,8th,225-4636,1005,,
"Budd, Ted",NC,13th,225-4531,118,,
"Burgess, Michael C.",TX,26th,225-7772,2336,,
"Bustos, Cheri",IL,17th,225-5905,1009,,
"Butterfield, G. K.",NC,1st,225-3101,2080,,
"Byrne, Bradley",AL,1st,225-4931,119,,
"Calvert, Ken",CA,42d,225-1986,2205,,
"Capuano, Michael E.",MA,7th,225-5111,1414,,
"Carbajal, Salud O.",CA,24th,225-3601,212,,
"Cárdenas, Tony",CA,29th,225-6131,1510,,
"Carson, André",IN,7th,225-4011,2135,,
"Carter, Earl L. ""Buddy""",GA,1st,225-5831,432,,
"Carter, John R.",TX,31st,225-3864,2110,,
"Cartwright, Matt",PA,17th,225-5546,1034,,
"Castor, Kathy",FL,14th,225-3376,2052,,
"Castro, Joaquin",TX,20th,225-3236,1221,,
"Chabot, Steve",OH,1st,225-2216,2371,,
"Chaffetz, Jason",UT,3d,225-7751,2236,,
"Cheney, Liz",WY,At Large,225-2311,416,,
"Chu, Judy",CA,27th,225-5464,2423,,
"Cicilline, David N.",RI,1st,225-4911,2244,,
"Clark, Katherine M.",MA,5th,225-2836,1415,,
"Clarke, Yvette D.",NY,9th,225-6231,2058,,
"Clay, Wm. Lacy",MO,1st,225-2406,2428,,
"Cleaver, Emanuel",MO,5th,225-4535,2335,,
"Clyburn, James E.",SC,6th,225-3315,242,,
"Coffman, Mike",CO,6th,225-7882,2443,,
"Cohen, Steve",TN,9th,225-3265,2404,,
